title,slug,start_date,end_date,location,category,description,pretix_link
Mord vor Ort,mord-vor-ort,2025-01-21 19:00:00,2025-01-21 21:00:00,Die Brücke,Impro-Theater,"Sie haben die Nerven, wir bringen die Leiche
 
Ausgehend von der Leiche, dem Tatort und der Todesart, die vom Publikum definiert wird macht sich ein fiktives Ermittlungsteam auf die Suche nach dem Mörder/der Mörderin. Ein Format, das bereits in vielen Städten große Erfolge feierte, kommt nun endlich auch nach Graz!
 
Wenn Sie „Tatort“ lieben und von den „Landkrimis“ nicht genug bekommen, sind Sie bei uns richtig. Nehmen Sie die Zügel in die Hand und lenken sie immer wieder durch Einwürfe und Vermutungen das Geschehen auf der Bühne, oder lehnen Sie sich zurück und genießen Sie das Schauspiel…. bis wir alle am Ende den Täter oder die Täterin festnageln.
 
Es spielen:
Ulrike Brantner, Elke Körbitz, Lisa Feischl, Carola Gartlgruber, Michael Brantner, Lukas Werzer, Siegi Allmer
An der Tontechnik und spielend: Kathi Brantner",
Oser-Steinrück Quartett,oser-steinrück-quartett,2025-02-13 20:00:00,2025-02-13 22:00:00,Die Brücke,Konzert,"Klangreisen zwischen Brasilien und Europa
 
 Das Quartett begibt sich an diesem Abend auf eine stilistische Reise zwischen jazzig-beschwingtem Brasil-Sound und instrumentalem Pop mit viel Raum für Improvisation. Atmosphärische Tunes mit einer wärmenden Brise Leichtigkeit tragen durch rhythmisch pulsierende, melodisch verspielte Klanglandschaften.
 
 Nives und Stefan Oser (akustische Gitarren), 
 Gerhard Steinrück (Kontrabass) und Fabian Steinrück (Schlagzeug).",
Mord vor Ort,mord-vor-ort-1,2026-02-25 19:00:00,2026-02-25 21:00:00,Die Brücke,Impro-Theater,"Sie haben die Nerven, wir bringen die Leiche
 
Ausgehend von der Leiche, dem Tatort und der Todesart, die vom Publikum definiert wird macht sich ein fiktives Ermittlungsteam auf die Suche nach dem Mörder/der Mörderin. Ein Format, das bereits in vielen Städten große Erfolge feierte, kommt nun endlich auch nach Graz!
 
Wenn Sie „Tatort“ lieben und von den „Landkrimis“ nicht genug bekommen, sind Sie bei uns richtig. Nehmen Sie die Zügel in die Hand und lenken sie immer wieder durch Einwürfe und Vermutungen das Geschehen auf der Bühne, oder lehnen Sie sich zurück und genießen Sie das Schauspiel…. bis wir alle am Ende den Täter oder die Täterin festnageln.
 
Es spielen:
Ulrike Brantner, Elke Körbitz, Lisa Feischl, Carola Gartlgruber, Michael Brantner, Lukas Werzer, Siegi Allmer
An der Tontechnik und spielend: Kathi Brantner",
Doppelkonzert Thomas Leeb & Gerald Egger,doppelkonzert-thomas-leeb-&-gerald-egger,2026-02-26 20:00:00,2026-02-26 22:00:00,Die Brücke,Konzert,"Thomas Leeb (US/AT)
 Thomas Leeb ist ein international anerkannter Gitarrist und Virtuose, der für seinen idiosynkratischen Stil und seine innovative Herangehensweise an die akustische Gitarre bekannt ist. Der geborene Österreicher begann seine musikalische Reise im Alter von 15 Jahren, inspiriert von Rockgitarristen. Doch bald entdeckte er die akustische Gitarre und entwickelte seinen unverwechselbaren Perkussionsstil, der traditionelle Spieltechniken mit rhythmischen Elementen kombiniert.
 Leebs Karriere umfasst zahlreiche Alben, darunter „Desert Pirate“ und „Riddle“, die seine technische Finesse und musikalische Tiefe eindrucksvoll demonstrieren. Sein Spiel ist geprägt von Fingerstyle-Techniken, komplexen Rhythmen und einer beeindruckenden Bühnenpräsenz. Er ist bekannt dafür, die Gitarre nicht nur als Melodie-, sondern auch als Rhythmusinstrument zu nutzen, indem er auf dem Korpus der Gitarre trommelt und gleichzeitig melodische Linien spielt. 
  
 Gerald Egger (AT)
 Mit vielen neuen eigenen Songs im Gepäck ist der seit über 30 Jahren in Leibnitz lebende Gitarrist Gerald Egger wieder auf Tour.
 „Geralds Pop- und Blues-Songs gehen ins Ohr und bleiben im Herzen!“ (Hermann Schmid, Gitarren-in-Griesbach (DE)) 
 Nach ersten musikalischen Versuchen mit Melodica und Flöte bekam Gerald Egger im Alter von elf Jahren seine erste Gitarre in die Hand. Nach einem Jahr Gitarre-Unterricht auf der klassischen Gitarre wurde schnell klar, dass der Weg in Richtung Fingerpicking-Gitarre geht. Die ersten Ragtimes, Blues-Pickings und Pop-Arrangements waren schnell erlernt. Nach vielen Jahren in einer Cover-Band und einer anschließenden langen Pause hat Gerald die Gitarre wieder hervorgeholt. Inspiriert von Peter Ratzenbeck und Thomas Leeb war der Weg in Richtung Fingerstyle-Gitarre vorgezeichnet. Wichtig war ihm, seinen eigenen unverkennbaren Fingerstyle zu entwickeln, welches mit dem Bau der eigens konzipierten und gebauten Gitarre gekoppelt wurde. Im Laufe der Jahre haben sich Eigenkompositionen angesammelt, welche auf den CDs „Love+Trust“ (2020) und „Heartbeats“ (2025) in Zusammenarbeit mit Martin Moro aufgenommen wurden.
 Foto: Sigi Feigl",
Matthias Kempf – DUO mit Andrea Fränzel,matthias-kempf-–-duo-mit-andrea-fränzel,2026-03-06 20:00:00,2026-03-06 22:00:00,Die Brücke,Konzert,"in so ana zeit
 
 Matthias Kempf ist Liedermacher, Geschichtenerzähler und Bahnhofsmensch. Seit 2019 ist er Teil des beliebten Trios „Ulli Bäer, Matthias Kempf & Andy Baum“ – und nun auch im Duo mit der Bassistin und Gitarristin Andrea Fränzel unterwegs. Wer von den beiden gerade zur Western-, Klassik- oder E-Gitarre greift, bleibt offen – und das schafft Raum für „vielsaitige“ Klangwelten. Das Programm trägt den Titel „in so ana zeit“, benannt nach Kempfs neuem Album, das im Herbst 2025 erscheint.
 
 Kempfs Lieder erzählen vom Losfahren und Ankommen, vom Staunen, Stolpern und Wiederfinden – mit feinem Humor, poetischen Bildern und jener Mischung aus Nähe und Augenzwinkern, die seine Konzerte auszeichnet. Mal leise und zart, mal scharfzüngig und schräg, mal heiter und witzig – immer aber mit offenem Herzen und einem Gespür für den Moment.
 
 Ein Lied von Georg Danzer – dem Auslöser für Kempfs eigenes Liederschreiben – darf dabei nie fehlen.
 
 Dieses Duo ist kein Schnellzug in eine Richtung, sondern ein Begegnungsraum: manchmal ein Wartesaal für Gedanken, manchmal ein Zug ins Absurde – und immer ein Ort, an dem man gern etwas länger bleibt.
 
 Foto: Markus Gröber",
Charly Blaha,charly-blaha,2026-03-07 20:00:00,2026-03-07 22:00:00,Die Brücke,Konzert,,
Ich bin Autist:in – Eine Lesung mit musikalischer Begleitung,ich-bin-autist:in-–-eine-lesung-mit-musikalischer-begleitung,2026-03-08 17:00:00,2026-03-08 19:00:00,Die Brücke,Lesung,"Wir laden euch ganz herzlich ein, einen Abend mit uns zu verbringen, bei dem es vor allem ums Zuhören und Verstehen geht. Unter dem Titel „Ich bin Autist:in“ wollen wir gemeinsam mit euch hinschauen und sensibilisieren.
 Mag. Daniela Janisch liest aus ihren Texten und wird dabei live von der Grazer Frauenphilharmonie begleitet. Wir finden, diese Mischung aus Lesung und Musik schafft genau den richtigen Rahmen für dieses Thema.
 Nach dem Programm laufen wir aber nicht gleich auseinander: Bleibt gerne noch da! Wir freuen uns auf Diskussionen, eine Signierstunde oder einfach ein gemütliches Beisammensein mit euch, um den Abend nett ausklingen zu lassen.
 Wann und wo? Wir treffen uns am Sonntag, den 8. März 2026 um 18:00 Uhr. Ort des Geschehens ist „DIE BRÜCKE“ in der Grabenstraße 39A in Graz.
 Der Eintritt für den Abend beträgt 25 Euro.",
Sir Oliver & Ripoff,sir-oliver-&-ripoff,2026-03-12 20:00:00,2026-03-12 22:00:00,Die Brücke,Konzert,,
Riccardo Grosso DUO,riccardo-grosso-duo,2026-03-14 20:00:00,2026-03-14 22:00:00,Die Brücke,Konzert,,
Kabarett Cuvee,kabarett-cuvee-1,2026-03-19 20:00:00,2026-03-19 22:00:00,Die Brücke,Kabarett,,
Mord vor Ort,mord-vor-ort-2,2026-03-25 19:00:00,2026-03-25 21:00:00,Die Brücke,Impro-Theater,"Sie haben die Nerven, wir bringen die Leiche
 
Ausgehend von der Leiche, dem Tatort und der Todesart, die vom Publikum definiert wird macht sich ein fiktives Ermittlungsteam auf die Suche nach dem Mörder/der Mörderin. Ein Format, das bereits in vielen Städten große Erfolge feierte, kommt nun endlich auch nach Graz!
 
Wenn Sie „Tatort“ lieben und von den „Landkrimis“ nicht genug bekommen, sind Sie bei uns richtig. Nehmen Sie die Zügel in die Hand und lenken sie immer wieder durch Einwürfe und Vermutungen das Geschehen auf der Bühne, oder lehnen Sie sich zurück und genießen Sie das Schauspiel…. bis wir alle am Ende den Täter oder die Täterin festnageln.
 
Es spielen:
Ulrike Brantner, Elke Körbitz, Lisa Feischl, Carola Gartlgruber, Michael Brantner, Lukas Werzer, Siegi Allmer
An der Tontechnik und spielend: Kathi Brantner",
Homajon Sefat,homajon-sefat,2026-03-27 20:00:00,2026-03-27 22:00:00,Die Brücke,Kabarett,,
Baba Yaga,baba-yaga,2026-04-10 20:00:00,2026-04-10 22:00:00,Die Brücke,Konzert,,
Manfred Sucher,manfred-sucher,2026-04-16 20:00:00,2026-04-16 22:00:00,Die Brücke,Konzert,,
Nette Eltere Herren,nette-eltere-herren,2026-04-17 20:00:00,2026-04-17 22:00:00,Die Brücke,Konzert,,
Mord vor Ort,mord-vor-ort-3,2026-04-22 19:00:00,2026-04-22 21:00:00,Die Brücke,Impro-Theater,"Sie haben die Nerven, wir bringen die Leiche
 
Ausgehend von der Leiche, dem Tatort und der Todesart, die vom Publikum definiert wird macht sich ein fiktives Ermittlungsteam auf die Suche nach dem Mörder/der Mörderin. Ein Format, das bereits in vielen Städten große Erfolge feierte, kommt nun endlich auch nach Graz!
 
Wenn Sie „Tatort“ lieben und von den „Landkrimis“ nicht genug bekommen, sind Sie bei uns richtig. Nehmen Sie die Zügel in die Hand und lenken sie immer wieder durch Einwürfe und Vermutungen das Geschehen auf der Bühne, oder lehnen Sie sich zurück und genießen Sie das Schauspiel…. bis wir alle am Ende den Täter oder die Täterin festnageln.
 
Es spielen:
Ulrike Brantner, Elke Körbitz, Lisa Feischl, Carola Gartlgruber, Michael Brantner, Lukas Werzer, Siegi Allmer
An der Tontechnik und spielend: Kathi Brantner",
Mally & Biber Hermann,mally-&-biber-hermann,2026-04-23 20:00:00,2026-04-23 22:00:00,Die Brücke,Konzert,,
