title,slug,start_date,end_date,location,category,description,pretix_link
Mord vor Ort,mord-vor-ort,2025-01-21 19:00:00,2025-01-21 21:00:00,Die Brücke,Impro-Theater,,
Oser-Steinrück Quartett,oser-steinrück-quartett,2025-02-13 20:00:00,2025-02-13 22:00:00,Die Brücke,Konzert,,
Mord vor Ort,mord-vor-ort-1,2026-02-25 19:00:00,2026-02-25 21:00:00,Die Brücke,Impro-Theater,,
Doppelkonzert Thomas Leeb & Gerald Egger,doppelkonzert-thomas-leeb-&-gerald-egger,2026-02-26 20:00:00,2026-02-26 22:00:00,Die Brücke,Konzert,,
Matthias Kempf – DUO mit Andrea Fränzel,matthias-kempf-–-duo-mit-andrea-fränzel,2026-03-06 20:00:00,2026-03-06 22:00:00,Die Brücke,Konzert,,
Charly Blaha,charly-blaha,2026-03-07 20:00:00,2026-03-07 22:00:00,Die Brücke,Konzert,,
Ich bin Autist:in – Eine Lesung mit musikalischer Begleitung,ich-bin-autist:in-–-eine-lesung-mit-musikalischer-begleitung,2026-03-08 17:00:00,2026-03-08 19:00:00,Die Brücke,Lesung,,
Sir Oliver & Ripoff,sir-oliver-&-ripoff,2026-03-12 20:00:00,2026-03-12 22:00:00,Die Brücke,Konzert,,
Riccardo Grosso DUO,riccardo-grosso-duo,2026-03-14 20:00:00,2026-03-14 22:00:00,Die Brücke,Konzert,,
Kabarett Cuvee,kabarett-cuvee,2026-03-19 20:00:00,2026-03-19 22:00:00,Die Brücke,Kabarett,,
Mord vor Ort,mord-vor-ort-2,2026-03-25 19:00:00,2026-03-25 21:00:00,Die Brücke,Impro-Theater,,
Homajon Sefat,homajon-sefat,2026-03-27 20:00:00,2026-03-27 22:00:00,Die Brücke,Kabarett,,
Baba Yaga,baba-yaga,2026-04-10 20:00:00,2026-04-10 22:00:00,Die Brücke,Konzert,,
Manfred Sucher,manfred-sucher,2026-04-16 20:00:00,2026-04-16 22:00:00,Die Brücke,Konzert,,
Nette Eltere Herren,nette-eltere-herren,2026-04-17 20:00:00,2026-04-17 22:00:00,Die Brücke,Konzert,,
Mord vor Ort,mord-vor-ort-3,2026-04-22 19:00:00,2026-04-22 21:00:00,Die Brücke,Impro-Theater,,
Mally & Biber Hermann,mally-&-biber-hermann,2026-04-23 20:00:00,2026-04-23 22:00:00,Die Brücke,Konzert,,
Son of the velvet rat,son-of-the-velvet-rat,2026-04-24 20:00:00,2026-04-24 22:00:00,Die Brücke,Konzert,,
Solarkreis,solarkreis,2026-04-25 20:00:00,2026-04-25 22:00:00,Die Brücke,Konzert,,
Chordovoice,chordovoice,2026-04-30 20:00:00,2026-04-30 22:00:00,Die Brücke,Konzert,,
Philipp Grießler & Andreas Johann Bauer,philipp-grießler-&-andreas-johann-bauer,2026-05-08 20:00:00,2026-05-08 22:00:00,Die Brücke,Konzert,,
Mord vor Ort,mord-vor-ort-4,2026-05-27 19:00:00,2026-05-27 21:00:00,Die Brücke,Impro-Theater,,
Hans Theessink,hans-theessink,2026-06-11 19:30:00,2026-06-11 22:00:00,Die Brücke,Konzert,,
Rosetti Sisters,rosetti-sisters,2026-06-19 19:30:00,2026-06-19 22:00:00,Die Brücke,Konzert,,
ABBA 4 YOU,abba-4-you,2026-06-20 20:00:00,2026-06-20 22:00:00,Die Brücke,Konzert,,
Mord vor Ort,mord-vor-ort-5,2026-06-24 19:00:00,2026-06-24 21:00:00,Die Brücke,Impro-Theater,,
Boxty,boxty,2026-06-26 19:30:00,2026-06-26 22:00:00,Die Brücke,Konzert,,
"Sir Oliver Mally, Peter Schneider, Martin Burböck","sir-oliver-mally,-peter-schneider,-martin-burböck",2026-07-04 19:30:00,2026-07-04 22:00:00,Die Brücke,Konzert,,
Kabarett Cuvée Sommer Festival Tag 1,kabarett-cuvée-sommer-festival-tag-1,2026-07-16 19:30:00,2026-07-16 22:00:00,Die Brücke,Kabarett,,
Kabarett Cuvée Sommer Festival Tag 2,kabarett-cuvée-sommer-festival-tag-2,2026-07-17 19:30:00,2026-07-17 22:00:00,Die Brücke,Kabarett,,
Kabarett Cuvée Sommer Festival Tag 3,kabarett-cuvée-sommer-festival-tag-3,2026-07-18 19:30:00,2026-07-18 22:00:00,Die Brücke,Kabarett,,
"Ulli BÄER, Matthias KEMPF und Andy BAUM – Ein Abend zu dritt","ulli-bäer,-matthias-kempf-und-andy-baum-–-ein-abend-zu-dritt",2026-07-24 19:30:00,2026-07-24 22:00:00,Die Brücke,Konzert,,
Charlie & die Kaischlabuam,charlie-&-die-kaischlabuam,2026-07-31 19:30:00,2026-07-31 22:00:00,Die Brücke,Konzert,,
Crossing Strings,crossing-strings,2026-11-13 20:00:00,2026-11-13 22:00:00,Die Brücke,Konzert,,
Kabarett Cuvee,kabarett-cuvee,2026-11-19 20:00:00,2026-11-19 22:00:00,Die Brücke,Kabarett,,
Gottfried D. Gfrerer,gottfried-d.-gfrerer,2026-11-20 20:00:00,2026-11-20 22:00:00,Die Brücke,Konzert,,
Erwin R,erwin-r,2026-11-27 19:30:00,2026-11-27 22:00:00,Die Brücke,Konzert,,
